ID Exp,Nodos (Cant),Ref. Dirección (Nodo 0),Distancia AG,Distancia ACO,Tiempo AG (s),Tiempo ACO (s),Solucion AG,Solucion ACO,Mejor Método,Ruta Normalizada AG,Ruta Normalizada ACO
0,40,"GAZA 1333, BEATRIZ HERNANDEZ...",110.1415,107.888,2.941,4.7141,"[15, 18, 1, 20, 33, 29, 11, 30, 10, 4, 26, 28, 5, 14, 39, 38, 37, 24, 23, 22, 25, 7, 3, 9, 36, 6, 13, 2, 0, 12, 8, 34, 19, 32, 31, 27, 16, 35, 17, 21]","[23, 10, 24, 22, 25, 3, 7, 17, 35, 16, 27, 31, 32, 19, 34, 8, 12, 0, 2, 13, 6, 36, 9, 37, 38, 39, 14, 5, 28, 26, 4, 30, 11, 29, 33, 20, 1, 18, 15, 21, 23]",ACO,"[0, 12, 8, 34, 19, 32, 31, 27, 16, 35, 17, 21, 15, 18, 1, 20, 33, 29, 11, 30, 10, 4, 26, 28, 5, 14, 39, 38, 37, 24, 23, 22, 25, 7, 3, 9, 36, 6, 13, 2]","[0, 2, 13, 6, 36, 9, 37, 38, 39, 14, 5, 28, 26, 4, 30, 11, 29, 33, 20, 1, 18, 15, 21, 23, 23, 10, 24, 22, 25, 3, 7, 17, 35, 16, 27, 31, 32, 19, 34, 8, 12]"
1,40,"CANTERA 819, SAN MARCOS...",137.8515,134.2485,2.9542,4.2845,"[14, 26, 0, 31, 38, 16, 4, 13, 12, 32, 1, 21, 27, 9, 10, 28, 3, 18, 7, 19, 25, 23, 33, 35, 39, 37, 20, 30, 5, 15, 11, 34, 17, 22, 8, 2, 6, 29, 36, 24]","[28, 10, 9, 34, 17, 22, 8, 2, 6, 29, 36, 24, 14, 26, 0, 31, 38, 16, 13, 4, 12, 32, 1, 27, 21, 25, 19, 7, 23, 18, 3, 33, 35, 11, 15, 5, 30, 20, 37, 39, 28]",ACO,"[0, 31, 38, 16, 4, 13, 12, 32, 1, 21, 27, 9, 10, 28, 3, 18, 7, 19, 25, 23, 33, 35, 39, 37, 20, 30, 5, 15, 11, 34, 17, 22, 8, 2, 6, 29, 36, 24, 14, 26]","[0, 31, 38, 16, 13, 4, 12, 32, 1, 27, 21, 25, 19, 7, 23, 18, 3, 33, 35, 11, 15, 5, 30, 20, 37, 39, 28, 28, 10, 9, 34, 17, 22, 8, 2, 6, 29, 36, 24, 14, 26]"
2,40,"AV ESPANA 1092, MODERNA...",86.4436,86.8272,2.7821,3.4622,"[14, 28, 22, 6, 18, 29, 35, 11, 36, 19, 32, 0, 38, 39, 31, 10, 8, 12, 21, 26, 24, 2, 16, 20, 33, 27, 7, 25, 23, 5, 4, 9, 34, 1, 17, 30, 3, 13, 37, 15]","[28, 22, 6, 17, 1, 34, 4, 9, 39, 31, 38, 0, 32, 18, 29, 35, 11, 36, 19, 8, 12, 21, 10, 26, 24, 2, 16, 20, 33, 27, 7, 25, 23, 5, 3, 30, 13, 37, 15, 14, 28]",AG,"[0, 38, 39, 31, 10, 8, 12, 21, 26, 24, 2, 16, 20, 33, 27, 7, 25, 23, 5, 4, 9, 34, 1, 17, 30, 3, 13, 37, 15, 14, 28, 22, 6, 18, 29, 35, 11, 36, 19, 32]","[0, 32, 18, 29, 35, 11, 36, 19, 8, 12, 21, 10, 26, 24, 2, 16, 20, 33, 27, 7, 25, 23, 5, 3, 30, 13, 37, 15, 14, 28, 28, 22, 6, 17, 1, 34, 4, 9, 39, 31, 38]"
3,40,"WOLFANG AMADEUS 5552, RESIDENC LA ESTANC...",99.2936,95.0436,2.6692,3.3253,"[7, 25, 38, 8, 13, 4, 19, 32, 31, 27, 14, 30, 6, 37, 23, 20, 11, 16, 34, 24, 9, 39, 1, 29, 12, 28, 33, 17, 21, 18, 0, 36, 35, 10, 15, 5, 3, 22, 2, 26]","[2, 26, 5, 15, 10, 35, 36, 0, 18, 21, 17, 33, 28, 12, 29, 1, 24, 9, 34, 16, 11, 20, 37, 23, 6, 30, 14, 27, 31, 32, 19, 4, 13, 38, 39, 25, 7, 8, 22, 3, 2]",ACO,"[0, 36, 35, 10, 15, 5, 3, 22, 2, 26, 7, 25, 38, 8, 13, 4, 19, 32, 31, 27, 14, 30, 6, 37, 23, 20, 11, 16, 34, 24, 9, 39, 1, 29, 12, 28, 33, 17, 21, 18]","[0, 18, 21, 17, 33, 28, 12, 29, 1, 24, 9, 34, 16, 11, 20, 37, 23, 6, 30, 14, 27, 31, 32, 19, 4, 13, 38, 39, 25, 7, 8, 22, 3, 2, 2, 26, 5, 15, 10, 35, 36]"
4,40,"JILGEROS 33, LA VENTA DEL ASTILLE...",121.3438,122.6717,2.5901,5.1718,"[26, 13, 10, 0, 31, 3, 25, 32, 23, 2, 1, 22, 17, 12, 5, 8, 37, 36, 38, 9, 35, 21, 34, 18, 39, 7, 19, 6, 27, 11, 14, 29, 16, 28, 4, 20, 33, 30, 24, 15]","[8, 37, 36, 22, 2, 23, 1, 38, 9, 35, 21, 34, 18, 39, 7, 19, 6, 27, 11, 33, 20, 4, 24, 30, 28, 14, 29, 16, 26, 13, 15, 10, 0, 31, 32, 3, 25, 17, 12, 5, 8]",AG,"[0, 31, 3, 25, 32, 23, 2, 1, 22, 17, 12, 5, 8, 37, 36, 38, 9, 35, 21, 34, 18, 39, 7, 19, 6, 27, 11, 14, 29, 16, 28, 4, 20, 33, 30, 24, 15, 26, 13, 10]","[0, 31, 32, 3, 25, 17, 12, 5, 8, 8, 37, 36, 22, 2, 23, 1, 38, 9, 35, 21, 34, 18, 39, 7, 19, 6, 27, 11, 33, 20, 4, 24, 30, 28, 14, 29, 16, 26, 13, 15, 10]"
5,40,"MONTES MARCIANO 2173, SAN VICENTE...",110.9546,103.6269,2.6059,6.1326,"[9, 29, 11, 10, 18, 25, 17, 33, 34, 23, 37, 21, 22, 1, 16, 24, 26, 7, 27, 38, 8, 36, 2, 35, 4, 19, 12, 6, 13, 14, 20, 31, 3, 39, 15, 28, 32, 30, 5, 0]","[4, 8, 38, 19, 12, 14, 13, 6, 32, 30, 5, 0, 9, 29, 11, 10, 18, 25, 17, 33, 34, 23, 37, 21, 22, 16, 26, 7, 27, 24, 1, 3, 39, 15, 28, 31, 20, 36, 2, 35, 4]",ACO,"[0, 9, 29, 11, 10, 18, 25, 17, 33, 34, 23, 37, 21, 22, 1, 16, 24, 26, 7, 27, 38, 8, 36, 2, 35, 4, 19, 12, 6, 13, 14, 20, 31, 3, 39, 15, 28, 32, 30, 5]","[0, 9, 29, 11, 10, 18, 25, 17, 33, 34, 23, 37, 21, 22, 16, 26, 7, 27, 24, 1, 3, 39, 15, 28, 31, 20, 36, 2, 35, 4, 4, 8, 38, 19, 12, 14, 13, 6, 32, 30, 5]"
6,40,"ARQUIMIDES 630, HERMOSA PROVIN ZO TE...",103.5688,103.9215,2.7963,6.4727,"[35, 0, 9, 3, 16, 23, 27, 26, 17, 32, 5, 4, 20, 38, 14, 31, 34, 18, 37, 25, 7, 10, 1, 30, 21, 36, 15, 22, 24, 29, 11, 8, 13, 39, 28, 6, 19, 12, 2, 33]","[33, 0, 2, 12, 16, 3, 9, 19, 6, 28, 39, 13, 8, 11, 29, 24, 22, 15, 36, 21, 10, 7, 25, 37, 18, 34, 31, 30, 1, 14, 38, 20, 4, 5, 32, 27, 23, 26, 17, 35, 33]",AG,"[0, 9, 3, 16, 23, 27, 26, 17, 32, 5, 4, 20, 38, 14, 31, 34, 18, 37, 25, 7, 10, 1, 30, 21, 36, 15, 22, 24, 29, 11, 8, 13, 39, 28, 6, 19, 12, 2, 33, 35]","[0, 2, 12, 16, 3, 9, 19, 6, 28, 39, 13, 8, 11, 29, 24, 22, 15, 36, 21, 10, 7, 25, 37, 18, 34, 31, 30, 1, 14, 38, 20, 4, 5, 32, 27, 23, 26, 17, 35, 33, 33]"
7,40,"CAMINO AL POTRE 1200, FRACC CUSPIDE...",108.0755,106.6263,3.9988,6.8785,"[5, 38, 33, 9, 7, 17, 30, 37, 11, 36, 6, 24, 20, 0, 13, 2, 12, 14, 25, 22, 19, 15, 18, 8, 34, 31, 35, 23, 27, 26, 1, 32, 16, 21, 39, 3, 29, 10, 4, 28]","[13, 12, 2, 22, 25, 14, 34, 8, 31, 18, 35, 27, 23, 26, 1, 32, 16, 39, 21, 3, 29, 10, 4, 28, 5, 38, 33, 9, 7, 17, 30, 37, 19, 15, 11, 36, 6, 24, 0, 20, 13]",ACO,"[0, 13, 2, 12, 14, 25, 22, 19, 15, 18, 8, 34, 31, 35, 23, 27, 26, 1, 32, 16, 21, 39, 3, 29, 10, 4, 28, 5, 38, 33, 9, 7, 17, 30, 37, 11, 36, 6, 24, 20]","[0, 20, 13, 13, 12, 2, 22, 25, 14, 34, 8, 31, 18, 35, 27, 23, 26, 1, 32, 16, 39, 21, 3, 29, 10, 4, 28, 5, 38, 33, 9, 7, 17, 30, 37, 19, 15, 11, 36, 6, 24]"
8,40,"PASEO DE LOS AL 79, LA MARTINICA...",100.2012,100.366,3.4996,6.8315,"[25, 24, 26, 1, 21, 20, 3, 22, 13, 27, 38, 5, 36, 30, 9, 12, 14, 4, 19, 18, 17, 2, 28, 15, 31, 16, 33, 29, 39, 11, 6, 10, 34, 32, 0, 35, 37, 7, 23, 8]","[11, 39, 29, 33, 16, 28, 31, 15, 18, 19, 17, 2, 4, 14, 12, 9, 30, 36, 5, 38, 27, 13, 22, 3, 20, 21, 1, 26, 24, 25, 8, 23, 7, 37, 35, 0, 32, 10, 34, 6, 11]",AG,"[0, 35, 37, 7, 23, 8, 25, 24, 26, 1, 21, 20, 3, 22, 13, 27, 38, 5, 36, 30, 9, 12, 14, 4, 19, 18, 17, 2, 28, 15, 31, 16, 33, 29, 39, 11, 6, 10, 34, 32]","[0, 32, 10, 34, 6, 11, 11, 39, 29, 33, 16, 28, 31, 15, 18, 19, 17, 2, 4, 14, 12, 9, 30, 36, 5, 38, 27, 13, 22, 3, 20, 21, 1, 26, 24, 25, 8, 23, 7, 37, 35]"
9,40,"HERNANDO ALVARA 3254, JARDINES DEL NILO...",120.8187,123.5395,3.1336,6.0657,"[16, 34, 13, 4, 37, 26, 21, 31, 7, 30, 19, 5, 20, 10, 36, 23, 6, 2, 14, 32, 38, 8, 29, 25, 9, 18, 33, 28, 39, 22, 1, 24, 17, 27, 0, 15, 35, 3, 12, 11]","[7, 20, 10, 36, 23, 6, 2, 14, 32, 38, 8, 29, 25, 9, 18, 33, 28, 39, 22, 1, 24, 17, 27, 0, 15, 35, 12, 3, 34, 16, 11, 13, 4, 37, 26, 21, 31, 30, 19, 5, 7]",AG,"[0, 15, 35, 3, 12, 11, 16, 34, 13, 4, 37, 26, 21, 31, 7, 30, 19, 5, 20, 10, 36, 23, 6, 2, 14, 32, 38, 8, 29, 25, 9, 18, 33, 28, 39, 22, 1, 24, 17, 27]","[0, 15, 35, 12, 3, 34, 16, 11, 13, 4, 37, 26, 21, 31, 30, 19, 5, 7, 7, 20, 10, 36, 23, 6, 2, 14, 32, 38, 8, 29, 25, 9, 18, 33, 28, 39, 22, 1, 24, 17, 27]"
