colonia,Calle,# de casa,Código postal,Unnamed: 4,latitud,longitud,id_original_excel
U H FOVISSSTE ESTADI,LISBOA,28,44307,Guadalajara,20.70856600731,-103.324833188427,1
INDEPENDENCIA,ROGELIO BACON,2280,44290,Guadalajara,20.70373929881,-103.333462682616,2
BOSQUES D LA CANTERA,PRIV OPALO,17,44306,Guadalajara,20.715599023139,-103.315732406134,3
JARDINES DE LOS POET,JOSE FERNANDEZ,3365,44820,Guadalajara,20.648511473538,-103.290043509622,4
LOMAS DEL GALLO,FERNANDO SOLIS,1338,44760,Guadalajara,20.678887907797,-103.270834437425,5
BATALLON SN PATRICIO,CALZADA INDEPEN,503,44300,Guadalajara,20.724067856974,-103.316242769093,6
TETLAN,GIGANTES,108,44820,Guadalajara,20.659502283657,-103.273261300264,7
MODERNA,AV ESPANA,1092,44190,Guadalajara,20.659423759514,-103.353125836399,8
RINCONADA DE HUENTITAN,JUAN CARRASCO,5234,44250,Guadalajara,20.733464085839,-103.321965440792,9
GENERAL REAL,MARCONI,17,44400,Guadalajara,20.668222830011,-103.324231153039,10
MARAVILLA,HACIENDA DE GUA,1124,44700,Guadalajara,20.7109,-103.3325,11
BARRIO ANALCO,ABASOLO,147,44450,Guadalajara,20.669626924521,-103.335331977967,12
BEATRIZ HERNANDEZ,MARGARITA GUTIE,3497,44760,Guadalajara,20.681234333536,-103.287071454067,13
SAN ANDRES,GOMEZ FARIAS,2319,44810,Guadalajara,20.661434443166,-103.30581571037,14
LADRON DE GUEVARA,AVENIDA MEXICO,2582,44600,Guadalajara,20.679539237488,-103.382147337954,15
OBLATOS PONIENTE,HACIENDA DE LAS,2299,44700,Guadalajara,20.692653384008,-103.291507058665,16
LOMAS DEL PARADERO,LUIS QUINTANAR,746,44840,Guadalajara,20.650111814446,-103.319948579318,17
LA PERLA,PEDRO LANDAZURI,733,44360,Guadalajara,20.682866483488,-103.332367494783,18
AMERICANA,MEXICALLTZINGO,1944,44160,Guadalajara,20.668457131778,-103.367287253175,19
HERMOSA PROVIN ZO TE,ARQUIMIDES,630,44770,Guadalajara,20.671121585495,-103.285929375927,20
BLANCO Y CUELLAR,EMILIO RABAZA,2132,44730,Guadalajara,20.679665438656,-103.304725369696,21
PENAL,PEDRO CELESTINO,482,44730,Guadalajara,20.678153876531,-103.319812465142,22
GARIBAY,DAMASCO,785,44750,Guadalajara,20.673577189759,-103.294987950146,23
BALCONES DE OBLATOS,HACIENDA DEL CA,2275,44720,Guadalajara,20.689260598605,-103.283341125216,24
HOGARES GUADALAJARA,CIRCUNVALACION,258,44340,Guadalajara,20.692742690623,-103.317265506511,25
HELIODORO HERNANDEZ,CELIA PACHECO,3713,44720,Guadalajara,20.696346717768,-103.278831930873,26
OBLATOS,AV JUAN PABLO L,3165,44700,Guadalajara,20.696611680834,-103.298728467306,27
SANTA ELENA,ASTURIAS,1581,44230,Guadalajara,20.714563690459,-103.337542453472,28
OBREROS D L CONSTRUC,ABEDUL,274,44900,Guadalajara,20.6545694222,-103.364592699038,29
SANTA MARIA,SAN MATEO,1407,44350,Guadalajara,20.687938369484,-103.315762960355,30
EL MANANTIAL S REFOR,AVDE LA PATRIA,202,44470,Guadalajara,20.621424694675,-103.342295381444,31
OBLATOS PONIENTE,JUAN PABLO II,3165,44700,Guadalajara,20.694441713148,-103.304591536461,32
PANORAMICA HUENTITAN,CALZADA,4500,44259,Guadalajara,20.738361003221,-103.322290323359,33
HUENTITAN EL BAJO,VOLCAN MAIPO,340,44250,Guadalajara,20.741641978616,-103.315603515756,34
MORELOS,PELICANO,1272,44910,Guadalajara,20.650784490132,-103.361183401871,35
LAGOS D OTE ZONA TET,LICURGO,336,44770,Guadalajara,20.665926356179,-103.288257365715,36
JARDINES DE LA CRUZ,ISLA ASENCION,3108,44950,Guadalajara,20.637495376636,-103.381004112181,37
SANTA TERESITA,ALFREDO CHAVERO,16,44600,Guadalajara,20.683705672009,-103.368627411951,38
MIRAVALLE II,HERMENEGILDO BU,4308,44990,Guadalajara,20.612679462355,-103.345018668617,39
PROGRESO,FRANCISCO SARAB,235,44730,Guadalajara,20.669955393964,-103.305463360589,40
ARANDAS,HACIENDA LA ERR,1877,44720,Guadalajara,20.688562686754,-103.288568627469,41
VALENTIN GOMEZ FARIA,CANUTO ELIAS,3414,44977,Guadalajara,20.619191621183,-103.362812769571,42
EL CENTRO,JUAREZ,400,44100,Guadalajara,20.675181358861,-103.348781940317,43
ARTESANOS,INDEPENDENCIA,919,44200,Guadalajara,20.6780638968,-103.356838097496,44
MARAVILLA,MESA DEL NORTE,1272,44700,Guadalajara,20.699661588622,-103.304216257904,45
POLANQUITO,MIGUEL MACIAS,3653,44969,Guadalajara,20.618594419499,-103.372019651985,46
MIRAVALLE II,PEDRO PATINO,643,44990,Guadalajara,20.629068410527,-103.354846356725,47
GUADALUPANA,CELEDONIO PADIL,2162,44220,Guadalajara,20.70997264207,-103.355422959011,48
RANCHO NUEVO,DOMINGO RAMIRE,1150,44240,Guadalajara,20.720878658221,-103.331326685534,49
EL MIRADOR,EMILIANO ZAPATA,780,44370,Guadalajara,20.684751874202,-103.323380755401,50
