ID,Nodos,Dist_AG,Dist_ACO,Tiempo_AG,Tiempo_ACO,Dist_Frankenstein,Tiempo_Frankenstein,Dist_PL,Tiempo_PL
0,150,221.2,232.53,13.38,15.51,220.9,0.01,195.87,158.65
1,150,274.86,271.89,12.99,15.71,262.46,0.01,245.74,270.03
2,150,242.43,221.56,13.62,15.64,222.74,0.01,203.2,44.21
3,150,206.09,205.54,13.24,15.47,202.15,0.01,177.07,18.21
4,150,285.3,276.68,13.89,15.87,262.8,0.01,246.3,84.94
5,150,241.98,237.58,13.53,15.44,237.21,0.01,211.99,73.65
6,150,243.54,241.76,13.75,15.9,236.04,0.01,217.72,50.53
7,150,248.64,240.33,13.74,15.62,232.75,0.01,209.14,26.97
8,150,280.87,269.74,13.93,15.86,264.4,0.01,241.93,126.96
9,150,247.6,247.67,13.53,15.67,246.2,0.01,219.56,22.07
