ID,Nodos,Dist_AG,Dist_ACO,Tiempo_AG,Tiempo_ACO,Dist_PL,Tiempo_PL
0,200,827.45,320.06,77.27,25.96,272.33,80.99
1,200,837.66,302.83,76.34,26.23,266.79,219.66
2,200,771.2,267.22,77.08,26.23,225.1,38.01
3,200,819.85,283.71,76.51,26.06,243.15,151.66
4,200,784.86,307.4,76.95,26.16,267.19,84.8
5,200,784.33,289.66,76.72,26.24,242.75,38.11
6,200,790.94,283.21,77.08,26.18,242.41,255.68
7,200,749.72,283.58,76.87,26.29,244.08,254.21
8,200,814.75,298.57,77.54,26.22,260.98,74.32
9,200,861.16,304.83,77.18,26.26,268.12,40.62
