sheet,run,gen,mejor,prom,peor
Grafo_20,0,0,130,130.0,130
Grafo_20,0,1,130,130.0,130
Grafo_20,0,2,130,130.0,130
Grafo_20,0,3,130,130.0,130
Grafo_20,0,4,130,130.0,130
Grafo_20,0,5,130,130.0,130
Grafo_20,0,6,130,130.0,130
Grafo_20,0,7,130,130.0,130
Grafo_20,0,8,130,130.0,130
Grafo_20,0,9,130,130.0,130
Grafo_20,0,10,130,130.0,130
Grafo_20,0,11,130,130.0,130
Grafo_20,0,12,130,130.0,130
Grafo_20,0,13,130,130.0,130
Grafo_20,0,14,130,130.0,130
Grafo_20,0,15,130,130.0,130
Grafo_20,0,16,130,130.0,130
Grafo_20,0,17,130,130.0,130
Grafo_20,0,18,130,130.0,130
Grafo_20,0,19,130,130.0,130
Grafo_20,0,20,114,125.2,130
Grafo_20,0,21,94,118.925,130
Grafo_20,0,22,81,107.25,130
Grafo_20,0,23,73,97.5625,122
Grafo_20,0,24,69,87.1375,119
Grafo_20,0,25,58,78.7,114
Grafo_20,0,26,58,71.1625,100
Grafo_20,0,27,55,64.85,81
Grafo_20,0,28,55,60.6875,73
Grafo_20,0,29,54,58.275,69
Grafo_20,0,30,53,56.8875,62
Grafo_20,0,31,53,56.0125,66
Grafo_20,0,32,52,55.0875,66
Grafo_20,0,33,51,54.1375,60
Grafo_20,0,34,51,53.575,62
Grafo_20,0,35,50,53.1375,62
Grafo_20,0,36,50,51.825,57
Grafo_20,0,37,50,50.9625,55
Grafo_20,0,38,50,50.375,53
Grafo_20,0,39,50,50.025,51
Grafo_20,0,40,42,48.275,50
Grafo_20,0,41,35,44.9125,52
Grafo_20,0,42,32,40.175,52
Grafo_20,0,43,31,36.725,46
Grafo_20,0,44,29,34.1,43
Grafo_20,0,45,29,32.6375,41
Grafo_20,0,46,28,31.3,40
Grafo_20,0,47,28,31.0125,49
Grafo_20,0,48,28,30.7,46
Grafo_20,0,49,27,30.375,39
Grafo_20,0,50,27,29.525,35
Grafo_20,0,51,27,28.875,33
Grafo_20,0,52,27,27.9375,31
Grafo_20,0,53,26,27.5375,29
Grafo_20,0,54,26,27.0875,29
Grafo_20,0,55,26,26.8,27
Grafo_20,0,56,26,26.525,28
Grafo_20,0,57,25,26.05,27
Grafo_20,0,58,25,25.95,26
Grafo_20,0,59,25,25.775,26
Grafo_20,0,60,20,24.425,26
Grafo_20,0,61,19,22.725,26
Grafo_20,0,62,16,21.825,29
Grafo_20,0,63,15,21.4625,34
Grafo_20,0,64,15,18.275,32
Grafo_20,0,65,14,16.8625,27
Grafo_20,0,66,14,16.075,19
Grafo_20,0,67,14,15.8125,18
Grafo_20,0,68,14,15.8875,20
Grafo_20,0,69,14,14.9125,19
Grafo_20,0,70,14,14.3625,19
Grafo_20,0,71,14,14.0,14
Grafo_20,0,72,14,14.025,16
Grafo_20,0,73,14,14.025,16
Grafo_20,0,74,14,14.05,16
Grafo_20,0,75,14,14.075,16
Grafo_20,0,76,14,14.05,16
Grafo_20,0,77,14,14.0,14
Grafo_20,0,78,14,14.0,14
Grafo_20,0,79,14,14.0,14
Grafo_20,0,80,11,13.5875,14
Grafo_20,0,81,10,12.825,15
Grafo_20,0,82,10,12.0375,17
Grafo_20,0,83,9,11.4,15
Grafo_20,0,84,9,10.8875,16
Grafo_20,0,85,9,10.6625,15
Grafo_20,0,86,9,10.3,15
Grafo_20,0,87,9,9.7875,14
Grafo_20,0,88,9,9.5125,11
Grafo_20,0,89,9,9.4,11
