sheet,run,n,num_colores,horario
Grafo_20,0,20,8,"{1: [1, 4, 8, 15], 2: [2, 3, 13], 3: [5, 9, 17], 4: [6, 12, 18], 5: [7, 10], 6: [11, 20], 7: [14], 8: [16, 19]}"
Grafo_20,1,20,8,"{1: [1, 8, 15], 2: [4, 6, 18], 3: [3, 11, 13], 4: [5, 9, 17], 5: [7, 10, 12], 6: [14, 20], 7: [16, 19], 8: [2]}"
Grafo_20,2,20,8,"{1: [1, 8, 15], 2: [2, 14], 3: [3, 11, 12], 4: [4, 6, 18], 5: [5, 9, 17], 6: [7, 13], 7: [10, 16], 8: [19, 20]}"
Grafo_20,3,20,8,"{1: [1, 15], 2: [2, 14], 3: [5, 12, 17], 4: [4, 6, 18], 5: [7, 13], 6: [8, 19, 20], 7: [3, 9, 11], 8: [10, 16]}"
Grafo_20,4,20,8,"{1: [1, 4, 8, 15], 2: [2, 14], 3: [3, 11, 13], 4: [5, 9, 17], 5: [7, 12, 18], 6: [10, 16], 7: [19, 20], 8: [6]}"
Grafo_30,0,30,7,"{1: [1, 3, 6, 9, 22, 24, 28, 29], 2: [2, 5, 21, 23], 3: [4, 10, 18, 27], 4: [7, 17, 20, 30], 5: [8, 12, 14, 19, 26], 6: [11, 13, 15, 16], 7: [25]}"
Grafo_30,1,30,7,"{1: [1, 11, 15, 22], 2: [2, 5, 16, 21, 23], 3: [3, 6, 7, 20, 24], 4: [4, 8, 18, 27], 5: [9, 10, 12, 14, 26, 29], 6: [13, 17, 19, 25, 30], 7: [28]}"
Grafo_30,2,30,8,"{1: [1, 11, 22, 24, 26, 29], 2: [2, 3, 7, 13, 16, 19], 3: [4, 5, 9, 21, 28], 4: [6, 17, 20], 5: [8, 18, 30], 6: [10, 12, 14, 23, 27], 7: [25], 8: [15]}"
Grafo_30,3,30,7,"{1: [1, 2, 3, 7, 13], 2: [4, 5, 9, 18, 22, 27, 28], 3: [6, 24], 4: [8, 10, 12, 14, 19, 26], 5: [11, 16, 21, 23, 29], 6: [17, 20, 25, 30], 7: [15]}"
Grafo_30,4,30,7,"{1: [1, 9, 22, 24, 28, 29], 2: [2, 4, 5, 27], 3: [3, 7, 13, 15, 17, 19], 4: [6, 8, 12, 14], 5: [10, 11, 16, 21, 23], 6: [20, 25, 30], 7: [18, 26]}"
Grafo_50,0,50,7,"{1: [1, 26, 28, 30, 33, 42, 43, 45], 2: [2, 3, 11, 17, 19, 23, 25, 31, 34, 35, 46], 3: [4, 13, 18, 22, 24, 39, 44], 4: [5, 9, 14, 20, 21, 36, 37, 38], 5: [6, 8, 41], 6: [7, 10, 15, 32, 47, 49, 50], 7: [12, 16, 27, 29, 40, 48]}"
Grafo_50,1,50,8,"{1: [1, 2, 12, 17, 28, 40, 45, 48, 49], 2: [3, 7, 8, 9, 31, 34, 38, 46], 3: [4, 11, 29], 4: [5, 6, 15, 19, 20, 22, 23, 32, 39], 5: [10, 14, 24, 25, 30, 36, 37, 41], 6: [13, 16, 33, 43, 44, 47, 50], 7: [18, 26, 27, 35, 42], 8: [21]}"
